method,seed,room_count,target_curve_len,generation_time_sec,eval_budget,evaluations_used,fitness,feasible,constraint_violation,overall_completeness,constraint_valid,linearity,leniency,progression_complexity,topology_complexity,path_length,num_nodes,num_edges,repair_applied,total_repairs,generation_constraint_rejections,candidate_repairs_applied,novelty_vs_reference,graph_edit_distance
RANDOM,42,24,24,1.5541391372680664,64,64,0.5754504361251976,0.0,0.4408467616711589,1.0,1.0,0.34782608695652173,0.6,0.4756495504495505,0.2885857910205737,7.0,23.0,39.0,0.0,0.0,0.0,0.0,0.06179941442237243,0.1138198757763975
RANDOM,43,29,29,1.3845956325531006,64,64,0.5542959063807495,0.0,0.3917406403327782,1.0,1.0,0.4230769230769231,1.0,0.4855076923076924,0.31303205128205125,10.0,26.0,48.0,0.0,0.0,0.0,0.0,0.045204854188500905,0.0685185185185185
ES,42,24,24,1.954071283340454,64,64,0.6251243967351483,0.0,0.329286016941893,1.0,1.0,0.30434782608695654,1.0,0.4819971014492753,0.3566758893280632,6.0,23.0,44.0,0.0,0.0,0.0,0.0,0.030878944675973977,0.07310559006211179
ES,43,29,29,1.8436992168426514,64,64,0.49819613358995873,0.0,0.5520063660471048,1.0,1.0,0.27586206896551724,1.0,0.37212610837438426,0.3426714536194373,7.0,29.0,59.0,0.0,0.0,1.0,0.0,0.06607038935371723,0.03185185185185185
GA,42,24,24,1.776137351989746,64,64,0.5759485958931835,0.0,0.29395171387606667,1.0,1.0,0.25,1.0,0.48408692564745204,0.39782957393483714,6.0,28.0,57.0,0.0,0.0,0.0,0.0,0.06342970745072139,0.03894458368142578
GA,43,29,29,1.7604098320007324,64,64,0.6013628502812228,0.0,0.27712593313470957,1.0,1.0,0.35714285714285715,0.5714285714285714,0.5004919799498747,0.3926115288220551,9.0,28.0,57.0,0.0,0.0,0.0,0.0,0.04400282608902078,0.0412593984962406
MAP_ELITES,42,24,24,6.449852228164673,64,48,0.5817623901009829,0.0,0.3952516503268101,1.0,1.0,0.2903225806451613,1.0,0.47533333333333333,0.3228440860215054,8.0,31.0,60.0,0.0,0.0,0.0,0.0,0.024250103066993565,0.039569892473118276
MAP_ELITES,43,29,29,1.6234760284423828,64,48,0.5415492295561843,0.0,0.44160510904616923,1.0,1.0,0.25925925925925924,1.0,0.41872810457516346,0.35372113289760354,6.0,27.0,51.0,0.0,0.0,0.0,0.0,0.05569017671524116,0.04910714285714285
FULL,42,24,24,1.5243217945098877,64,64,0.5826035284273559,0.0,0.3474941303566824,1.0,1.0,0.26666666666666666,0.8333333333333334,0.4846013674661499,0.3728633879781421,7.0,30.0,61.0,0.0,0.0,0.0,0.0,0.09646077533596345,0.03321454027084819
FULL,43,29,29,1.5749788284301758,64,64,0.5260558735371786,0.0,0.46164502661434326,1.0,1.0,0.2962962962962963,0.75,0.4839064306064306,0.3528689458689459,7.0,27.0,52.0,0.0,0.0,0.0,0.0,0.09308379152889897,0.045
